WHO Country Name,Year,PM2.5 (μg/m3),PM10 (μg/m3),NO2 (μg/m3)
Brazil,2016,14.9,29.8125,25.53
Brazil,2018,15.3875,28.865,25.59375
Brazil,2019,15.4575,31.200000000000003,23.41875
Bulgaria,2010,22.967142857142857,43.205714285714286,25.19142857142857
Bulgaria,2013,18.973333333333333,38.906666666666666,21.205000000000002
Bulgaria,2014,24.134,44.004000000000005,26.264
Bulgaria,2015,26.98,39.07,22.209999999999997
Bulgaria,2016,19.0,34.0525,22.0225
Bulgaria,2017,19.2,30.641666666666666,21.06833333333333
Bulgaria,2018,19.32166666666667,29.021666666666665,18.41
Bulgaria,2019,15.475,26.55666666666667,21.461666666666662
Canada,2015,6.78,12.886666666666667,13.536
Canada,2016,5.352941176470588,11.813529411764705,12.676470588235293
Canada,2017,7.5,15.455333333333332,15.078000000000001
Canada,2018,9.1875,15.65625,14.458124999999999
Canada,2019,5.642857142857143,12.464285714285714,12.08357142857143
Chile,2010,25.83818181818182,62.35272727272727,21.296363636363637
Chile,2011,26.223636363636363,66.91818181818182,21.66
Chile,2015,39.39666666666667,63.193333333333335,7.003333333333333
Chile,2019,16.56090909090909,39.730909090909094,16.46
Colombia,2010,32.33,58.0,38.33
Colombia,2011,22.0,53.0,26.0
Colombia,2012,24.0,60.0,19.0
Colombia,2013,21.766666666666666,46.39333333333334,27.0
Colombia,2014,24.426666666666666,50.85,28.526666666666667
Colombia,2015,26.549999999999997,50.916666666666664,29.266666666666666
Colombia,2016,17.9,41.36,13.1
Costa Rica,2018,22.0,21.75,40.71
Croatia,2013,21.7,35.81,33.9
Croatia,2014,18.99,34.84,30.86
Croatia,2015,15.83,26.65,29.270000000000003
Croatia,2016,13.633333333333333,24.709999999999997,23.28333333333333
Croatia,2017,15.670000000000002,25.865,30.75
Croatia,2018,13.067499999999999,21.9725,17.0525
Croatia,2019,12.856666666666667,19.576666666666664,21.30333333333333
Cyprus,2010,19.5,43.915,18.310000000000002
Cyprus,2013,14.889999999999999,36.72,16.465
Cyprus,2014,14.95,34.265,16.38
Cyprus,2015,13.290000000000001,34.15,16.96
Cyprus,2016,9.466666666666667,29.953333333333333,16.223333333333333
Cyprus,2017,13.030000000000001,26.083333333333332,15.033333333333331
Cyprus,2018,12.926666666666668,34.23666666666667,14.353333333333333
Cyprus,2019,11.7,23.225,14.915
Czechia,2010,24.12875,33.03625,22.712083333333336
Czechia,2013,20.502083333333335,26.879166666666666,18.565
Czechia,2014,19.70875,26.635416666666668,17.932916666666667
